date,spot,call_gex_mm,put_gex_mm,net_gex_mm,net_vex_mm,gexplus_mm,total_oi
2026-06-12,7431.46,281435.9,256281.5,25154.4,49829.1,74983.5,25822512
2026-06-15,7554.29,345554.9,212321.9,133233.0,49243.3,182476.3,25870765
2026-06-16,7511.35,292076.9,253313.6,38763.4,48990.2,87753.6,26095035
2026-06-17,7420.10,296323.3,297791.6,-1468.3,48273.1,46804.8,26524974
2026-06-18,7500.58,211489.2,185377.3,26111.9,49785.3,75897.2,27069789
2026-06-19,7500.58,204383.1,178254.7,26128.4,52059.2,78187.6,20867386
2026-06-22,7472.79,190948.8,184862.6,6086.2,48360.6,54446.8,20867386
2026-06-24,7358.22,185836.3,206438.1,-20601.8,45123.6,24521.8,21412581
2026-06-25,7357.49,177355.7,212937.6,-35581.8,46207.5,10625.6,21694056
2026-06-26,7354.02,175130.0,218392.6,-43262.6,47485.2,4222.6,21987606
2026-06-29,7440.43,218068.7,187649.4,30419.3,48272.7,78692.0,21942586
